loyalty_number,segment_name,churn_probability,risk_tier,recency_months,alltime_total_flights_sum,months_inactive,churned,action,channel,timing,goal,cost_usd,est_retention_lift,action_key,clv_proxy,est_roi
101148,Frequent Redeemers,0.02722475856633982,Low Risk,0.0,30,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4770.55,94.41
101356,High Value Loyalists,0.9999271833772804,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,7482.64,2194.79
101363,Frequent Redeemers,0.014112986640445776,Low Risk,0.0,31,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,12898.59,256.97
101487,Seasonal Travelers,0.004186740311573021,Low Risk,0.0,56,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,14024.36,279.49
101515,Frequent Redeemers,0.007653372329676102,Low Risk,1.0,29,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7737.27,153.75
101540,Frequent Redeemers,0.003818785397014149,Low Risk,0.0,30,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2688.88,52.78
101544,Frequent Redeemers,0.00032315143527168337,Low Risk,0.0,40,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,24249.34,483.99
101547,Dormant Members,0.05035565746082743,Low Risk,1.0,17,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5619.69,111.39
101581,Frequent Redeemers,0.001272886706277035,Low Risk,1.0,36,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4595.46,90.91
101594,Frequent Redeemers,0.00014434396833994088,Low Risk,0.0,43,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5205.75,103.12
101644,High Value Loyalists,0.001161721772510278,Low Risk,0.0,2,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8382.63,166.65
101663,Frequent Redeemers,0.0060995957887966645,Low Risk,0.0,41,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5129.74,101.59
101664,Dormant Members,0.0003406080751539008,Low Risk,0.0,29,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,9002.41,179.05
101709,Frequent Redeemers,0.5575304654034708,Medium Risk,4.0,38,4,1,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,8396.61,1002.59
101768,High Value Loyalists,0.0002620985273123034,Low Risk,0.0,1,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,13916.93,277.34
101876,Dormant Members,0.9765286988279637,High Risk,6.0,12,6,1,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,4949.53,588.94
101895,Frequent Redeemers,0.0011842322388978248,Low Risk,0.0,27,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,24543.2,489.86
101902,Seasonal Travelers,0.0025252302533528047,Low Risk,0.0,52,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6265.34,124.31
101945,Frequent Redeemers,0.0004351808500972584,Low Risk,0.0,39,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4202.66,83.05
102168,Dormant Members,0.0004852069590054687,Low Risk,0.0,25,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7166.34,142.33
102184,Seasonal Travelers,0.02388966458924529,Low Risk,0.0,45,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4923.18,97.46
102207,Dormant Members,0.36891252004423697,Low Risk,3.0,25,3,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6960.92,138.22
102299,Seasonal Travelers,0.009977997400093782,Low Risk,1.0,48,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2089.34,40.79
102308,High Value Loyalists,0.9999684194656168,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,12866.89,3810.07
102311,Seasonal Travelers,0.08686765951779461,Low Risk,2.0,51,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7507.46,149.15
102376,Seasonal Travelers,0.9831833428537019,High Risk,0.0,42,0,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,12765.78,3779.73
102464,Dormant Members,0.17733556992132857,Low Risk,2.0,14,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2725.68,53.51
102615,High Value Loyalists,0.0004616215749169302,Low Risk,2.0,2,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7590.05,150.8
102726,Dormant Members,0.0011264090657650795,Low Risk,0.0,21,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8044.87,159.9
102730,Dormant Members,0.00012765687800327978,Low Risk,0.0,27,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2453.57,48.07
102740,High Value Loyalists,0.00047078792317814587,Low Risk,0.0,5,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,16922.13,337.44
102788,Seasonal Travelers,0.8848284552794712,High Risk,0.0,49,0,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,11124.21,3287.26
102851,Frequent Redeemers,0.035006881857246056,Low Risk,1.0,39,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,19435.63,387.71
102877,Seasonal Travelers,0.5370409683307923,Medium Risk,3.0,45,3,0,Seasonal Travel Offer (targeted destination discount),Email + App Push,4-6 weeks before typical travel season,Capture seasonal travel intent early,20,0.16,seasonal_offer,2863.04,438.09
102982,Dormant Members,0.00020003926885693444,Low Risk,0.0,29,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5235.57,103.71
103043,Seasonal Travelers,0.04918724253492112,Low Risk,0.0,43,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3351.21,66.02
103151,Frequent Redeemers,0.0007611143039869676,Low Risk,0.0,31,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,32613.69,651.27
103217,Frequent Redeemers,0.009474921193493354,Low Risk,0.0,36,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6439.33,127.79
103304,Frequent Redeemers,0.0006281794130377539,Low Risk,1.0,37,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2683.47,52.67
103340,Seasonal Travelers,0.18916046487512655,Low Risk,2.0,44,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7577.07,150.54
103352,High Value Loyalists,0.9999280549338471,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,5555.49,1616.65
103359,Seasonal Travelers,0.0039458180366104476,Low Risk,0.0,53,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4502.87,89.06
103362,High Value Loyalists,0.0053933572758799835,Low Risk,1.0,3,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4807.0,95.14
103383,High Value Loyalists,0.999918663941284,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,13466.92,3990.08
103436,Seasonal Travelers,0.000888670005539518,Low Risk,0.0,49,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5015.01,99.3
103490,Seasonal Travelers,0.0024181856130449024,Low Risk,0.0,45,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,17651.96,352.04
103502,Dormant Members,0.2421627161099922,Low Risk,0.0,18,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2580.85,50.62
103536,Seasonal Travelers,0.0022318205985896174,Low Risk,0.0,59,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,9202.64,183.05
103699,Dormant Members,0.01299059687914398,Low Risk,0.0,24,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5595.39,110.91
103731,Frequent Redeemers,0.3198665449502073,Low Risk,1.0,33,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4015.34,79.31
103758,Dormant Members,0.0010209467496640567,Low Risk,0.0,18,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,14727.51,293.55
103823,Frequent Redeemers,0.000626255517954375,Low Risk,0.0,42,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4812.53,95.25
103860,Seasonal Travelers,0.02826674914857161,Low Risk,2.0,40,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3358.53,66.17
103862,Seasonal Travelers,0.0008255353281223152,Low Risk,0.0,37,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4878.83,96.58
103916,Frequent Redeemers,0.03268234266709488,Low Risk,0.0,36,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3803.92,75.08
103969,Frequent Redeemers,0.011945717778879286,Low Risk,0.0,33,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,31410.93,627.22
103970,Frequent Redeemers,0.0007287170509044146,Low Risk,0.0,45,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8257.67,164.15
103975,Dormant Members,0.00015006013222627665,Low Risk,0.0,15,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2411.26,47.23
103985,High Value Loyalists,6.075307892947423e-05,Low Risk,0.0,4,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2761.69,54.23
104103,Dormant Members,0.6691574474489526,Medium Risk,4.0,32,4,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,8262.88,986.55
104267,Frequent Redeemers,0.4509569648556853,Medium Risk,0.0,29,0,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,2701.04,319.12
104353,Seasonal Travelers,0.009946114356502049,Low Risk,0.0,42,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,15777.89,314.56
104431,Seasonal Travelers,0.0011944410851091644,Low Risk,0.0,43,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2822.59,55.45
104541,Frequent Redeemers,4.935941179143692e-06,Low Risk,0.0,34,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8621.0,171.42
104586,Seasonal Travelers,0.008426672388083756,Low Risk,1.0,40,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7772.58,154.45
104673,Seasonal Travelers,0.00023441524076882276,Low Risk,0.0,48,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,14723.41,293.47
104732,Frequent Redeemers,0.003784893392829741,Low Risk,0.0,37,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8382.48,166.65
104739,High Value Loyalists,0.999834001347376,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,5498.94,1599.68
104849,Frequent Redeemers,0.002305137717530445,Low Risk,0.0,35,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2816.76,55.34
104960,Frequent Redeemers,0.04668670418433085,Low Risk,2.0,32,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2551.23,50.02
105063,Dormant Members,0.8079430244019208,High Risk,1.0,23,1,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,7251.33,2125.4
105073,Frequent Redeemers,0.5155696298331837,Medium Risk,0.0,39,0,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,7562.82,902.54
105074,Seasonal Travelers,0.0038906678779449537,Low Risk,0.0,46,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2799.75,55.0
105145,High Value Loyalists,0.9998986448217817,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,4839.11,1401.73
105193,High Value Loyalists,0.0071074004198967665,Low Risk,2.0,3,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8838.09,175.76
105214,Frequent Redeemers,0.08406568665696415,Low Risk,1.0,35,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5897.99,116.96
105251,At Risk Premium,0.9963550843821928,High Risk,18.0,10,18,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,5074.25,1238.56
105335,Frequent Redeemers,0.0035870330054895475,Low Risk,1.0,36,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,11611.95,231.24
105352,High Value Loyalists,0.9998951381339877,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,3923.27,1126.98
105552,Frequent Redeemers,0.30199673888231554,Low Risk,2.0,30,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8256.3,164.13
105688,Seasonal Travelers,0.0029017487495036506,Low Risk,1.0,45,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5507.06,109.14
105700,High Value Loyalists,0.9998973702835535,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,7944.97,2333.49
105712,Dormant Members,0.6983218200942201,Medium Risk,4.0,31,4,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,8311.14,992.34
105789,Frequent Redeemers,0.0009728626453449875,Low Risk,0.0,38,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2943.05,57.86
105835,Frequent Redeemers,0.09243570638216242,Low Risk,0.0,31,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4756.13,94.12
105841,Seasonal Travelers,0.8205163201364597,High Risk,0.0,44,0,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,17420.57,5176.17
105921,Seasonal Travelers,0.003291473261038805,Low Risk,0.0,49,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5041.45,99.83
105932,Frequent Redeemers,0.015304659566165195,Low Risk,0.0,30,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3671.82,72.44
105992,Frequent Redeemers,0.013558649698089904,Low Risk,1.0,42,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5905.97,117.12
106001,Seasonal Travelers,3.648292984035019e-05,Low Risk,0.0,60,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4914.04,97.28
106037,Seasonal Travelers,0.0575457460540857,Low Risk,0.0,51,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,11281.52,224.63
106038,Frequent Redeemers,0.16511220323733666,Low Risk,1.0,32,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7380.09,146.6
106046,Frequent Redeemers,0.5594068260983076,Medium Risk,0.0,35,0,0,Expiring Points Reminder + Bonus Redemption Offer,Email,60 days before expiry,Drive redemption activity and re-engagement,5,0.12,expiring_points,2658.22,313.99
106048,High Value Loyalists,0.002278338712954689,Low Risk,0.0,3,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,11315.2,225.3
106218,Frequent Redeemers,0.00010670506053071822,Low Risk,0.0,38,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,16473.17,328.46
106397,Dormant Members,0.0003073828292956028,Low Risk,0.0,25,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7902.68,157.05
106444,Dormant Members,0.000968336342322611,Low Risk,0.0,14,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8447.8,167.96
106477,Dormant Members,0.00041027663891314597,Low Risk,0.0,23,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2487.26,48.75
106509,High Value Loyalists,0.021970031753874183,Low Risk,2.0,7,2,1,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,16727.77,333.56
106589,High Value Loyalists,0.9998732810168185,High Risk,0.0,0,999,1,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,11638.9,3441.67
106592,Seasonal Travelers,0.2034361155685707,Low Risk,1.0,47,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,11727.78,233.56
106616,High Value Loyalists,0.0015214202025096491,Low Risk,1.0,6,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2560.69,50.21
106623,High Value Loyalists,0.00013622630709467714,Low Risk,0.0,4,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,10827.87,215.56
106637,Frequent Redeemers,0.01776500034121841,Low Risk,2.0,32,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7455.36,148.11
106689,Dormant Members,0.024500424335880174,Low Risk,1.0,23,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2795.41,54.91
106754,Dormant Members,0.001995891277075461,Low Risk,2.0,31,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,31864.86,636.3
106757,Frequent Redeemers,0.05843500857893758,Low Risk,0.0,35,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,21423.64,427.47
106776,Seasonal Travelers,0.00390675179732095,Low Risk,0.0,43,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,19357.8,386.16
106838,Seasonal Travelers,0.12000088047103263,Low Risk,0.0,39,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7524.74,149.49
106839,Seasonal Travelers,0.0020166748262121256,Low Risk,0.0,45,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6511.47,129.23
106936,Seasonal Travelers,0.001272776780476704,Low Risk,1.0,45,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,57520.5,1149.41
106946,Seasonal Travelers,0.003060147565516438,Low Risk,0.0,50,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7796.0,154.92
106964,High Value Loyalists,0.0001434411348523807,Low Risk,0.0,4,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5568.95,110.38
106978,Seasonal Travelers,9.428509804838172e-05,Low Risk,0.0,46,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3455.23,68.1
106979,Frequent Redeemers,0.04336662364835219,Low Risk,2.0,38,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,14083.97,280.68
107037,Dormant Members,0.010570386210861578,Low Risk,1.0,31,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,17732.46,353.65
107067,Frequent Redeemers,0.0020405326059691393,Low Risk,0.0,35,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5137.35,101.75
107119,Seasonal Travelers,0.0010201973867330542,Low Risk,0.0,47,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,17684.65,352.69
107141,Frequent Redeemers,0.00862146863716709,Low Risk,0.0,33,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7292.91,144.86
107203,Seasonal Travelers,0.04171498310508407,Low Risk,2.0,47,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3044.79,59.9
