loyalty_number,segment_id,segment_name,recency,frequency,monetary,R_score,F_score,M_score,RFM_score
102184,4,Seasonal Travelers,0.0,45,67229.0,5,1,1,7
102207,3,Dormant Members,3.0,25,37889.0,4,2,2,8
102299,4,Seasonal Travelers,1.0,48,59570.0,5,1,3,9
102308,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
102311,4,Seasonal Travelers,2.0,51,82033.0,4,1,1,6
102376,4,Seasonal Travelers,0.0,42,62004.0,5,3,3,11
102464,3,Dormant Members,2.0,14,17067.0,4,2,5,11
102615,2,High Value Loyalists,2.0,2,4556.0,4,5,5,14
102726,3,Dormant Members,0.0,21,25020.0,5,2,2,9
102730,3,Dormant Members,0.0,27,41890.0,5,2,2,9
102740,2,High Value Loyalists,0.0,5,8927.0,5,5,5,15
102788,4,Seasonal Travelers,0.0,49,86238.0,5,1,1,7
102851,1,Frequent Redeemers,1.0,39,53975.0,5,3,4,12
102877,4,Seasonal Travelers,3.0,45,75358.0,4,1,1,6
102982,3,Dormant Members,0.0,29,34835.0,5,2,2,9
103043,4,Seasonal Travelers,0.0,43,66356.0,5,3,1,9
103151,1,Frequent Redeemers,0.0,31,52486.0,5,4,4,13
103217,1,Frequent Redeemers,0.0,36,56399.0,5,4,3,12
103304,1,Frequent Redeemers,1.0,37,62563.0,5,3,3,11
103340,4,Seasonal Travelers,2.0,44,62122.0,4,1,3,8
103352,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
103359,4,Seasonal Travelers,0.0,53,82249.0,5,1,1,7
103362,2,High Value Loyalists,1.0,3,4485.0,5,5,5,15
103383,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
103436,4,Seasonal Travelers,0.0,49,86089.0,5,1,1,7
103490,4,Seasonal Travelers,0.0,45,74308.0,5,1,1,7
103502,3,Dormant Members,0.0,18,30244.0,5,2,2,9
103536,4,Seasonal Travelers,0.0,59,80954.0,5,1,1,7
103699,3,Dormant Members,0.0,24,36719.0,5,2,2,9
103731,1,Frequent Redeemers,1.0,33,53860.0,5,4,4,13
103758,3,Dormant Members,0.0,18,27295.0,5,2,2,9
103823,1,Frequent Redeemers,0.0,42,57809.0,5,3,3,11
103860,4,Seasonal Travelers,2.0,40,65428.0,4,3,1,8
103862,4,Seasonal Travelers,0.0,37,68669.0,5,3,1,9
103916,1,Frequent Redeemers,0.0,36,54250.0,5,4,3,12
103969,1,Frequent Redeemers,0.0,33,46744.0,5,4,4,13
103970,1,Frequent Redeemers,0.0,45,56234.0,5,1,3,9
103975,3,Dormant Members,0.0,15,18061.0,5,2,5,12
103985,2,High Value Loyalists,0.0,4,6269.0,5,5,5,15
104103,3,Dormant Members,4.0,32,40470.0,4,4,2,10
104267,1,Frequent Redeemers,0.0,29,45763.5,5,2,4,11
104353,4,Seasonal Travelers,0.0,42,73980.0,5,3,1,9
104431,4,Seasonal Travelers,0.0,43,77434.0,5,3,1,9
104541,1,Frequent Redeemers,0.0,34,40283.0,5,4,2,11
104586,4,Seasonal Travelers,1.0,40,65640.0,5,3,1,9
104673,4,Seasonal Travelers,0.0,48,64770.0,5,1,1,7
104732,1,Frequent Redeemers,0.0,37,54081.0,5,3,3,11
104739,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
104849,1,Frequent Redeemers,0.0,35,53641.0,5,4,4,13
104960,1,Frequent Redeemers,2.0,32,48555.0,4,4,4,12
105063,3,Dormant Members,1.0,23,40486.5,5,2,2,9
105073,1,Frequent Redeemers,0.0,39,56847.0,5,3,3,11
105074,4,Seasonal Travelers,0.0,46,66078.0,5,1,1,7
105145,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
105193,2,High Value Loyalists,2.0,3,6621.0,4,5,5,14
105214,1,Frequent Redeemers,1.0,35,52473.0,5,4,4,13
105251,0,At Risk Premium,18.0,10,20733.0,4,5,2,11
105335,1,Frequent Redeemers,1.0,36,62882.0,5,4,3,12
105352,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
105552,1,Frequent Redeemers,2.0,30,58455.0,4,4,3,11
105688,4,Seasonal Travelers,1.0,45,71537.0,5,1,1,7
105700,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
105712,3,Dormant Members,4.0,31,46412.0,4,4,4,12
105789,1,Frequent Redeemers,0.0,38,65623.0,5,3,1,9
105835,1,Frequent Redeemers,0.0,31,55437.0,5,4,3,12
105841,4,Seasonal Travelers,0.0,44,78409.5,5,1,1,7
105921,4,Seasonal Travelers,0.0,49,70250.0,5,1,1,7
105932,1,Frequent Redeemers,0.0,30,55256.0,5,4,3,12
105992,1,Frequent Redeemers,1.0,42,61310.0,5,3,3,11
106001,4,Seasonal Travelers,0.0,60,95271.0,5,1,1,7
106037,4,Seasonal Travelers,0.0,51,68781.0,5,1,1,7
106038,1,Frequent Redeemers,1.0,32,44279.0,5,4,4,13
106046,1,Frequent Redeemers,0.0,35,65262.0,5,4,1,10
106048,2,High Value Loyalists,0.0,3,2103.0,5,5,5,15
106218,1,Frequent Redeemers,0.0,38,53572.0,5,3,4,12
106397,3,Dormant Members,0.0,25,35660.0,5,2,2,9
106444,3,Dormant Members,0.0,14,19680.0,5,2,5,12
106477,3,Dormant Members,0.0,23,29743.0,5,2,2,9
106509,2,High Value Loyalists,2.0,7,10925.0,4,5,5,14
106589,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
106592,4,Seasonal Travelers,1.0,47,76347.0,5,1,1,7
106616,2,High Value Loyalists,1.0,6,9406.0,5,5,5,15
106623,2,High Value Loyalists,0.0,4,2092.0,5,5,5,15
106637,1,Frequent Redeemers,2.0,32,48721.0,4,4,4,12
106689,3,Dormant Members,1.0,23,34355.0,5,2,2,9
106754,3,Dormant Members,2.0,31,33368.0,4,4,2,10
106757,1,Frequent Redeemers,0.0,35,53926.0,5,4,4,13
106776,4,Seasonal Travelers,0.0,43,66096.0,5,3,1,9
106838,4,Seasonal Travelers,0.0,39,71555.0,5,3,1,9
106839,4,Seasonal Travelers,0.0,45,64569.0,5,1,3,9
106936,4,Seasonal Travelers,1.0,45,71149.0,5,1,1,7
106946,4,Seasonal Travelers,0.0,50,78216.0,5,1,1,7
106964,2,High Value Loyalists,0.0,4,5889.0,5,5,5,15
106978,4,Seasonal Travelers,0.0,46,70762.0,5,1,1,7
106979,1,Frequent Redeemers,2.0,38,66576.0,4,3,1,8
107037,3,Dormant Members,1.0,31,37882.0,5,4,2,11
107067,1,Frequent Redeemers,0.0,35,46235.0,5,4,4,13
107119,4,Seasonal Travelers,0.0,47,73636.0,5,1,1,7
107141,1,Frequent Redeemers,0.0,33,44019.0,5,4,4,13
107203,4,Seasonal Travelers,2.0,47,65065.0,4,1,1,6
107212,1,Frequent Redeemers,0.0,39,58002.0,5,3,3,11
107296,3,Dormant Members,1.0,21,30104.0,5,2,2,9
107385,3,Dormant Members,0.0,22,27287.0,5,2,2,9
107420,3,Dormant Members,4.0,18,24132.0,4,2,2,8
107461,3,Dormant Members,0.0,18,21476.0,5,2,2,9
107466,3,Dormant Members,0.0,24,36441.0,5,2,2,9
107487,3,Dormant Members,0.0,18,33663.0,5,2,2,9
107519,4,Seasonal Travelers,2.0,41,73288.5,4,3,1,8
107571,3,Dormant Members,0.0,31,38467.0,5,4,2,11
107649,4,Seasonal Travelers,0.0,45,74576.0,5,1,1,7
107719,3,Dormant Members,0.0,30,36129.0,5,4,2,11
107730,1,Frequent Redeemers,0.0,37,64714.0,5,3,3,11
107835,2,High Value Loyalists,0.0,5,7565.0,5,5,5,15
107902,1,Frequent Redeemers,0.0,32,52064.0,5,4,4,13
107993,1,Frequent Redeemers,1.0,32,45033.0,5,4,4,13
108264,4,Seasonal Travelers,0.0,68,103366.0,5,1,1,7
108346,2,High Value Loyalists,4.0,10,17116.0,4,5,5,14
108367,0,At Risk Premium,11.0,14,19611.0,4,2,5,11
108381,1,Frequent Redeemers,0.0,40,50725.0,5,3,4,12
108430,4,Seasonal Travelers,0.0,47,85132.0,5,1,1,7
108440,1,Frequent Redeemers,1.0,35,42687.0,5,4,2,11
108462,1,Frequent Redeemers,0.0,37,62792.0,5,3,3,11
108481,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
108528,4,Seasonal Travelers,1.0,51,78024.0,5,1,1,7
108625,4,Seasonal Travelers,0.0,46,69314.0,5,1,1,7
108666,3,Dormant Members,0.0,26,40864.0,5,2,2,9
108857,0,At Risk Premium,9.0,10,7254.0,4,5,5,14
108896,0,At Risk Premium,12.0,9,11764.0,4,5,5,14
108907,1,Frequent Redeemers,0.0,37,56340.0,5,3,3,11
109022,3,Dormant Members,0.0,27,35598.0,5,2,2,9
109023,1,Frequent Redeemers,0.0,35,64571.0,5,4,3,12
109029,2,High Value Loyalists,1.0,2,3944.0,5,5,5,15
109203,1,Frequent Redeemers,0.0,41,62207.0,5,3,3,11
109399,1,Frequent Redeemers,3.0,33,58851.0,4,4,3,11
109478,4,Seasonal Travelers,1.0,44,82658.0,5,1,1,7
109495,4,Seasonal Travelers,0.0,44,75183.0,5,1,1,7
109517,1,Frequent Redeemers,3.0,34,45001.0,4,4,4,12
109552,3,Dormant Members,1.0,22,26865.0,5,2,2,9
109612,3,Dormant Members,5.0,17,30477.0,4,2,2,8
109660,4,Seasonal Travelers,0.0,42,69953.0,5,3,1,9
109767,4,Seasonal Travelers,0.0,44,66909.0,5,1,1,7
109840,3,Dormant Members,0.0,27,44876.0,5,2,4,11
109896,4,Seasonal Travelers,1.0,42,62398.0,5,3,3,11
109903,1,Frequent Redeemers,0.0,38,46839.0,5,3,4,12
109956,0,At Risk Premium,11.0,16,27586.0,4,2,2,8
110001,1,Frequent Redeemers,1.0,32,47676.0,5,4,4,13
110030,0,At Risk Premium,19.0,12,12015.0,4,5,5,14
110065,4,Seasonal Travelers,0.0,53,88818.0,5,1,1,7
110073,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
110099,1,Frequent Redeemers,1.0,36,59296.0,5,4,3,12
110142,4,Seasonal Travelers,2.0,41,67729.5,4,3,1,8
110170,2,High Value Loyalists,0.0,7,11198.0,5,5,5,15
110211,0,At Risk Premium,12.0,26,38248.0,4,2,2,8
110262,1,Frequent Redeemers,0.0,30,57840.0,5,4,3,12
110296,1,Frequent Redeemers,1.0,34,53546.0,5,4,4,13
110394,4,Seasonal Travelers,0.0,46,66002.0,5,1,1,7
110422,2,High Value Loyalists,1.0,14,12513.0,5,2,5,12
110476,4,Seasonal Travelers,0.0,47,66715.0,5,1,1,7
110603,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
110678,1,Frequent Redeemers,0.0,37,56217.0,5,3,3,11
110691,1,Frequent Redeemers,0.0,30,49309.0,5,4,4,13
110752,1,Frequent Redeemers,0.0,41,62023.0,5,3,3,11
111022,3,Dormant Members,1.0,28,44035.0,5,2,4,11
111034,4,Seasonal Travelers,2.0,49,80677.0,4,1,1,6
111171,1,Frequent Redeemers,0.0,45,56814.0,5,1,3,9
111176,1,Frequent Redeemers,4.0,37,59430.0,4,3,3,10
111255,4,Seasonal Travelers,0.0,48,65856.0,5,1,1,7
111286,1,Frequent Redeemers,1.0,32,49103.0,5,4,4,13
111329,1,Frequent Redeemers,0.0,36,44314.0,5,4,4,13
111387,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
111485,4,Seasonal Travelers,0.0,51,73149.0,5,1,1,7
111507,3,Dormant Members,0.0,29,40465.0,5,2,2,9
111573,4,Seasonal Travelers,1.0,42,71319.0,5,3,1,9
111584,3,Dormant Members,0.0,25,32533.0,5,2,2,9
111646,0,At Risk Premium,13.0,24,44009.0,4,2,4,10
111788,4,Seasonal Travelers,4.0,65,95902.0,4,1,1,6
111899,0,At Risk Premium,13.0,16,24779.0,4,2,2,8
111912,4,Seasonal Travelers,0.0,47,75540.0,5,1,1,7
112026,4,Seasonal Travelers,0.0,56,98946.0,5,1,1,7
112142,3,Dormant Members,8.0,29,42136.0,4,2,2,8
112226,4,Seasonal Travelers,0.0,38,68479.0,5,3,1,9
112393,4,Seasonal Travelers,0.0,48,80936.0,5,1,1,7
112522,1,Frequent Redeemers,0.0,38,60591.0,5,3,3,11
112632,4,Seasonal Travelers,0.0,47,74638.0,5,1,1,7
112661,0,At Risk Premium,19.0,10,9526.0,4,5,5,14
112678,1,Frequent Redeemers,2.0,29,50550.0,4,2,4,10
112709,1,Frequent Redeemers,0.0,36,58414.0,5,4,3,12
112732,1,Frequent Redeemers,1.0,37,65222.0,5,3,1,9
112733,1,Frequent Redeemers,0.0,46,54194.0,5,1,3,9
112797,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
112842,1,Frequent Redeemers,0.0,32,60931.0,5,4,3,12
112856,4,Seasonal Travelers,0.0,42,66838.0,5,3,1,9
112863,1,Frequent Redeemers,0.0,40,56146.0,5,3,3,11
112894,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
113040,1,Frequent Redeemers,0.0,29,55322.0,5,2,3,10
113184,2,High Value Loyalists,0.0,13,17942.0,5,5,5,15
113220,1,Frequent Redeemers,1.0,36,51238.0,5,4,4,13
113293,2,High Value Loyalists,0.0,9,11095.0,5,5,5,15
113316,3,Dormant Members,4.0,15,26262.0,4,2,2,8
113363,3,Dormant Members,1.0,22,43708.0,5,2,4,11
113442,2,High Value Loyalists,1.0,5,9571.0,5,5,5,15
113476,4,Seasonal Travelers,0.0,48,76252.0,5,1,1,7
113529,2,High Value Loyalists,0.0,6,13405.0,5,5,5,15
113558,1,Frequent Redeemers,0.0,32,40426.0,5,4,2,11
113578,0,At Risk Premium,20.0,3,1799.0,4,5,5,14
113656,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
113679,4,Seasonal Travelers,0.0,52,66901.0,5,1,1,7
113694,4,Seasonal Travelers,0.0,53,86747.0,5,1,1,7
113755,3,Dormant Members,1.0,18,19113.0,5,2,5,12
113779,1,Frequent Redeemers,0.0,37,45219.0,5,3,4,12
113804,3,Dormant Members,0.0,25,32637.0,5,2,2,9
113831,4,Seasonal Travelers,1.0,57,72151.0,5,1,1,7
113839,1,Frequent Redeemers,0.0,30,48414.0,5,4,4,13
113861,3,Dormant Members,0.0,26,34699.0,5,2,2,9
113864,3,Dormant Members,0.0,16,17202.0,5,2,5,12
113874,3,Dormant Members,0.0,29,42574.5,5,2,2,9
113877,4,Seasonal Travelers,0.0,45,78891.0,5,1,1,7
113904,1,Frequent Redeemers,0.0,44,48694.0,5,1,4,10
113919,1,Frequent Redeemers,0.0,35,60208.0,5,4,3,12
114018,1,Frequent Redeemers,0.0,33,48336.0,5,4,4,13
114021,4,Seasonal Travelers,1.0,46,69349.0,5,1,1,7
114131,1,Frequent Redeemers,0.0,36,57747.0,5,4,3,12
114214,3,Dormant Members,8.0,16,20894.0,4,2,2,8
114219,1,Frequent Redeemers,0.0,35,49604.0,5,4,4,13
114242,1,Frequent Redeemers,0.0,38,53004.0,5,3,4,12
114307,1,Frequent Redeemers,2.0,33,46919.0,4,4,4,12
114399,2,High Value Loyalists,0.0,4,4809.0,5,5,5,15
114414,4,Seasonal Travelers,0.0,48,81244.0,5,1,1,7
114493,1,Frequent Redeemers,2.0,32,52349.0,4,4,4,12
114553,1,Frequent Redeemers,0.0,41,61201.0,5,3,3,11
114638,4,Seasonal Travelers,0.0,51,63893.0,5,1,3,9
114700,3,Dormant Members,0.0,16,18282.0,5,2,5,12
114743,3,Dormant Members,1.0,15,22328.0,5,2,2,9
114835,1,Frequent Redeemers,0.0,30,42008.0,5,4,2,11
114857,1,Frequent Redeemers,0.0,38,52595.0,5,3,4,12
114903,1,Frequent Redeemers,2.0,36,53090.0,4,4,4,12
114924,3,Dormant Members,6.0,13,22222.0,4,5,2,11
114927,1,Frequent Redeemers,0.0,31,40489.0,5,4,2,11
114983,3,Dormant Members,0.0,27,44033.0,5,2,4,11
115198,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
115322,4,Seasonal Travelers,0.0,48,76273.0,5,1,1,7
115354,4,Seasonal Travelers,0.0,52,79226.0,5,1,1,7
115405,1,Frequent Redeemers,3.0,35,67404.0,4,4,1,9
115427,4,Seasonal Travelers,1.0,46,61723.0,5,1,3,9
115505,3,Dormant Members,1.0,14,27447.0,5,2,2,9
115529,1,Frequent Redeemers,1.0,34,47356.0,5,4,4,13
115633,4,Seasonal Travelers,0.0,43,63188.0,5,3,3,11
115705,1,Frequent Redeemers,1.0,40,59658.0,5,3,3,11
115749,2,High Value Loyalists,0.0,9,12514.0,5,5,5,15
115805,4,Seasonal Travelers,0.0,46,63394.0,5,1,3,9
115852,1,Frequent Redeemers,0.0,38,60325.0,5,3,3,11
116016,4,Seasonal Travelers,0.0,43,66457.0,5,3,1,9
116045,4,Seasonal Travelers,0.0,49,79559.0,5,1,1,7
116164,2,High Value Loyalists,5.0,9,15501.0,4,5,5,14
116207,0,At Risk Premium,17.0,14,25324.0,4,2,2,8
116238,3,Dormant Members,0.0,15,23059.0,5,2,2,9
116288,1,Frequent Redeemers,1.0,33,47604.0,5,4,4,13
116332,4,Seasonal Travelers,0.0,48,72065.0,5,1,1,7
116372,1,Frequent Redeemers,0.0,35,45847.0,5,4,4,13
116562,2,High Value Loyalists,0.0,11,15412.0,5,5,5,15
116703,3,Dormant Members,3.0,25,38896.0,4,2,2,8
116732,3,Dormant Members,0.0,22,39329.0,5,2,2,9
116735,1,Frequent Redeemers,0.0,42,54211.0,5,3,3,11
116895,3,Dormant Members,1.0,22,41193.0,5,2,2,9
116897,2,High Value Loyalists,0.0,10,18542.0,5,5,5,15
116932,1,Frequent Redeemers,0.0,39,57913.0,5,3,3,11
116948,3,Dormant Members,1.0,14,18662.0,5,2,5,12
116999,1,Frequent Redeemers,0.0,40,62580.0,5,3,3,11
117033,1,Frequent Redeemers,1.0,35,42469.0,5,4,2,11
117053,1,Frequent Redeemers,2.0,36,67867.0,4,4,1,9
117169,1,Frequent Redeemers,0.0,40,57471.0,5,3,3,11
117219,4,Seasonal Travelers,0.0,46,79992.0,5,1,1,7
117240,3,Dormant Members,0.0,19,28749.0,5,2,2,9
117333,4,Seasonal Travelers,0.0,62,81641.0,5,1,1,7
117342,1,Frequent Redeemers,0.0,42,49782.0,5,3,4,12
117351,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
117358,2,High Value Loyalists,0.0,3,4368.0,5,5,5,15
117408,4,Seasonal Travelers,1.0,44,73206.0,5,1,1,7
117456,4,Seasonal Travelers,0.0,51,77607.0,5,1,1,7
117460,1,Frequent Redeemers,0.0,34,48495.0,5,4,4,13
117482,4,Seasonal Travelers,0.0,50,81592.5,5,1,1,7
117618,3,Dormant Members,2.0,29,39486.0,4,2,2,8
117725,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
117782,4,Seasonal Travelers,0.0,46,76507.0,5,1,1,7
117832,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
117910,1,Frequent Redeemers,0.0,33,44863.0,5,4,4,13
117915,4,Seasonal Travelers,1.0,45,70146.0,5,1,1,7
117932,3,Dormant Members,0.0,25,42732.0,5,2,2,9
117939,0,At Risk Premium,20.0,8,9058.0,4,5,5,14
117975,0,At Risk Premium,22.0,1,1030.0,4,5,5,14
118076,1,Frequent Redeemers,0.0,38,60263.0,5,3,3,11
118298,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
118320,1,Frequent Redeemers,1.0,40,60927.0,5,3,3,11
118332,1,Frequent Redeemers,2.0,33,54604.0,4,4,3,11
118355,3,Dormant Members,1.0,21,25446.0,5,2,2,9
118365,1,Frequent Redeemers,0.0,30,48598.0,5,4,4,13
118376,2,High Value Loyalists,6.0,8,10291.0,4,5,5,14
118379,3,Dormant Members,2.0,27,38304.0,4,2,2,8
118418,4,Seasonal Travelers,0.0,40,64444.5,5,3,3,11
118511,0,At Risk Premium,22.0,4,5384.0,4,5,5,14
118514,2,High Value Loyalists,0.0,8,16759.0,5,5,5,15
118612,3,Dormant Members,0.0,21,30075.0,5,2,2,9
118628,4,Seasonal Travelers,0.0,47,81058.0,5,1,1,7
118632,4,Seasonal Travelers,0.0,48,84784.0,5,1,1,7
118675,1,Frequent Redeemers,2.0,40,59391.0,4,3,3,10
118688,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
118729,2,High Value Loyalists,7.0,9,11777.0,4,5,5,14
118864,1,Frequent Redeemers,1.0,38,52921.0,5,3,4,12
119009,1,Frequent Redeemers,2.0,33,52761.0,4,4,4,12
119015,3,Dormant Members,1.0,14,24228.0,5,2,2,9
119135,4,Seasonal Travelers,0.0,44,62976.0,5,1,3,9
119198,1,Frequent Redeemers,0.0,29,51307.5,5,2,4,11
119200,1,Frequent Redeemers,1.0,31,44595.0,5,4,4,13
119408,2,High Value Loyalists,0.0,4,4900.0,5,5,5,15
119460,3,Dormant Members,0.0,28,37174.0,5,2,2,9
119488,1,Frequent Redeemers,0.0,33,38383.0,5,4,2,11
119519,1,Frequent Redeemers,0.0,32,56036.0,5,4,3,12
119633,1,Frequent Redeemers,0.0,32,44471.0,5,4,4,13
119634,4,Seasonal Travelers,1.0,46,82246.5,5,1,1,7
119638,3,Dormant Members,4.0,25,39252.0,4,2,2,8
119690,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
119731,4,Seasonal Travelers,2.0,42,70209.0,4,3,1,8
119837,1,Frequent Redeemers,0.0,37,60609.0,5,3,3,11
119845,1,Frequent Redeemers,1.0,40,41995.0,5,3,2,10
119917,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
119997,4,Seasonal Travelers,0.0,49,71163.0,5,1,1,7
120046,3,Dormant Members,0.0,18,26202.0,5,2,2,9
120126,3,Dormant Members,0.0,26,43987.0,5,2,4,11
120140,1,Frequent Redeemers,0.0,39,60028.0,5,3,3,11
120164,4,Seasonal Travelers,2.0,48,64048.0,4,1,3,8
120192,1,Frequent Redeemers,1.0,39,55642.0,5,3,3,11
120206,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
120393,1,Frequent Redeemers,0.0,38,57003.0,5,3,3,11
120434,3,Dormant Members,0.0,23,29858.0,5,2,2,9
120554,1,Frequent Redeemers,0.0,30,51751.0,5,4,4,13
120583,4,Seasonal Travelers,0.0,41,63078.0,5,3,3,11
120594,4,Seasonal Travelers,3.0,50,75531.0,4,1,1,6
120613,1,Frequent Redeemers,0.0,29,45828.0,5,2,4,11
120635,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
120799,3,Dormant Members,0.0,22,28399.0,5,2,2,9
120868,1,Frequent Redeemers,0.0,36,57393.0,5,4,3,12
121068,1,Frequent Redeemers,0.0,39,50529.0,5,3,4,12
121095,1,Frequent Redeemers,0.0,40,58553.0,5,3,3,11
121139,1,Frequent Redeemers,2.0,35,51947.0,4,4,4,12
121183,4,Seasonal Travelers,0.0,55,79828.0,5,1,1,7
121236,0,At Risk Premium,13.0,7,10757.0,4,5,5,14
121351,3,Dormant Members,7.0,11,17182.5,4,5,5,14
121410,4,Seasonal Travelers,0.0,60,93254.0,5,1,1,7
121469,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
121605,4,Seasonal Travelers,0.0,54,83847.0,5,1,1,7
121710,1,Frequent Redeemers,1.0,44,59199.0,5,1,3,9
121737,3,Dormant Members,1.0,26,42546.0,5,2,2,9
121751,2,High Value Loyalists,0.0,9,11918.0,5,5,5,15
121856,3,Dormant Members,0.0,18,23850.0,5,2,2,9
121919,3,Dormant Members,0.0,24,36131.0,5,2,2,9
121930,2,High Value Loyalists,1.0,3,3672.0,5,5,5,15
121935,3,Dormant Members,0.0,25,31699.0,5,2,2,9
121999,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
122009,3,Dormant Members,0.0,17,27883.0,5,2,2,9
122020,4,Seasonal Travelers,0.0,50,72853.0,5,1,1,7
122049,1,Frequent Redeemers,0.0,39,60575.0,5,3,3,11
122094,3,Dormant Members,0.0,26,30818.0,5,2,2,9
122166,1,Frequent Redeemers,0.0,36,55983.0,5,4,3,12
122173,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
122206,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
122283,1,Frequent Redeemers,3.0,28,50647.0,4,2,4,10
122357,1,Frequent Redeemers,0.0,28,44436.0,5,2,4,11
122456,1,Frequent Redeemers,0.0,38,64912.0,5,3,1,9
122517,0,At Risk Premium,21.0,4,6476.0,4,5,5,14
122519,1,Frequent Redeemers,2.0,29,52170.0,4,2,4,10
122545,3,Dormant Members,0.0,27,37557.0,5,2,2,9
122561,2,High Value Loyalists,0.0,13,20844.0,5,5,2,12
122577,1,Frequent Redeemers,0.0,33,48523.0,5,4,4,13
122685,1,Frequent Redeemers,0.0,33,53257.0,5,4,4,13
122797,4,Seasonal Travelers,1.0,38,73656.0,5,3,1,9
122858,2,High Value Loyalists,0.0,9,12097.0,5,5,5,15
